sentence	sentence_tagged	regulator	regulated	span_regulator_regulated	label
The fact that the same level of CRP - dependent transcription activation is seen in vitro with both RNAP preparations argues that CRP activates transcription at the melAB promoter independently of aCTD .	The fact that the same level of @TF$ - dependent transcription activation is seen in vitro with both RNAP preparations argues that CRP activates transcription at the @Regulated$ promoter independently of aCTD .	CRP	melAB	[[32, 35], [165, 170]]	no_relation
From this , we conclude that the MelR - binding Site R plays an essential role in MelR - dependent repression of the melR promoter .	From this , we conclude that the @TF$ - binding Site R plays an essential role in MelR - dependent repression of the @Regulated$ promoter .	MelR	melR	[[33, 37], [117, 121]]	no_relation
Model for MelR and CRP binding during activation at the melAB promoter .	Model for @TF$ and CRP binding during activation at the @Regulated$ promoter .	MelR	melAB	[[10, 14], [56, 61]]	activator
We previously suggested that a MelR dimer simultaneously occupies site R and site 2 , creating a repression loop and the effects of different insertions and deletions on MelR - dependent repression of the melR promoter ( Figure 6 ) are consistent with this ( 17 ) .	We previously suggested that a @TF$ dimer simultaneously occupies site R and site 2 , creating a repression loop and the effects of different insertions and deletions on MelR - dependent repression of the @Regulated$ promoter ( Figure 6 ) are consistent with this ( 17 ) .	MelR	melR	[[31, 35], [205, 209]]	no_relation
A common phenotype associated with transcriptional activation of micF by Rob , SoxS and MarA is multiple antibiotic resistance .	A common phenotype associated with transcriptional activation of @Regulated$ by Rob , @TF$ and MarA is multiple antibiotic resistance .	SoxS	micF	[[79, 83], [65, 69]]	activator
To confirm that the nfnB activation observed in the array study was specifically mediated by MarA rather than by a cell stress response to the constitutive expression of the protein from a multicopy number plasmid , Northern blot analysis was performed on cells in which MarA production was inducible .	To confirm that the @Regulated$ activation observed in the array study was specifically mediated by MarA rather than by a cell stress response to the constitutive expression of the protein from a multicopy number plasmid , Northern blot analysis was performed on cells in which @TF$ production was inducible .	MarA	nfnB	[[271, 275], [20, 24]]	no_relation
Upon transformation into strain JCP75 , this plasmid led to red colonies on MacConkey lactose agar plates supplemented with lysine , confirming that ArgP is able to enhance dapB transcription .	Upon transformation into strain JCP75 , this plasmid led to red colonies on MacConkey lactose agar plates supplemented with lysine , confirming that @TF$ is able to enhance @Regulated$ transcription .	ArgP	dapB	[[149, 153], [173, 177]]	activator
Whereas # 1996 Blackwell Science Ltd , Molecular Microbiology , 19 , 389 – 396Transcriptional activation of the dnaA gene by IciA protein 393 Fig . 6 .	Whereas # 1996 Blackwell Science Ltd , Molecular Microbiology , 19 , 389 – 396Transcriptional activation of the @Regulated$ gene by @TF$ protein 393 Fig . 6 .	IciA	dnaA	[[125, 129], [112, 116]]	activator
The binding of two dimers of IciA protein to the IciA I site , which is located 50 to 63 nucleotides from the transcription start site of dnaA promoter 1P , is required to stimulate RNA polymerase binding to the 1P promoter .	The binding of two dimers of IciA protein to the @TF$ I site , which is located 50 to 63 nucleotides from the transcription start site of @Regulated$ promoter 1P , is required to stimulate RNA polymerase binding to the 1P promoter .	IciA	dnaA	[[49, 53], [138, 142]]	activator
( 2000 ) Transcription activation at the Escherichia coli melAB promoter : the role of MelR and the cyclic AMP receptor protein .	( 2000 ) Transcription activation at the Escherichia coli @Regulated$ promoter : the role of @TF$ and the cyclic AMP receptor protein .	MelR	melAB	[[87, 91], [58, 63]]	activator
At low to intermediate levels of nitrate ( 2 to 6 mM ) NarP appeared to antagonize the ability of NarL to activate fdnG operon expression .	At low to intermediate levels of nitrate ( 2 to 6 mM ) NarP appeared to antagonize the ability of @TF$ to activate @Regulated$ operon expression .	NarL	fdnG	[[98, 102], [115, 119]]	activator
Based on data from in vitro studies , Celis suggested that wild - type ArgP both represses its own transcription and activates that of argK ; he also sought to explain the Can r phenotype associated with the argP d mutation on the assumption that it is a loss - of - function ( that is , dominant - negative ) allele whose product is unable to efficiently activate the genes involved in Arg uptake , including argK ( 12 ) .	Based on data from in vitro studies , Celis suggested that wild - type @TF$ both represses its own transcription and activates that of argK ; he also sought to explain the Can r phenotype associated with the @Regulated$ d mutation on the assumption that it is a loss - of - function ( that is , dominant - negative ) allele whose product is unable to efficiently activate the genes involved in Arg uptake , including argK ( 12 ) .	ArgP	argP	[[71, 75], [208, 212]]	repressor
Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and ygbA genes that were previously shown to be regulated by NsrR .	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and @Regulated$ genes that were previously shown to be regulated by @TF$ .	NsrR	ygbA	[[198, 202], [141, 145]]	no_relation
Like MalE - SoxS , MarA ( i ) activated the transcription of zwf , fpr , fumC , micF , nfo , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate zwf transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF .	Like MalE - @TF$ , MarA ( i ) activated the transcription of zwf , fpr , fumC , micF , nfo , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate @Regulated$ transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF .	SoxS	zwf	[[12, 16], [158, 161]]	no_relation
It is important to note that the molecular mechanisms of lysinedependent regulation by ArgP differ between argO and dapB ( 2 , 24 ) .	It is important to note that the molecular mechanisms of lysinedependent regulation by @TF$ differ between argO and @Regulated$ ( 2 , 24 ) .	ArgP	dapB	[[87, 91], [116, 120]]	regulator
Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , dapD , gdhA , lysA , lysC , and lysP ) were also bound by ArgP , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with argO ) , the addition of Lys was associated with an increase in the apparent K d , indicating that ArgP binding in these instances is Lys sensitive .	Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , dapD , gdhA , lysA , lysC , and lysP ) were also bound by @TF$  , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with @Regulated$ ) , the addition of Lys was associated with an increase in the apparent K d , indicating that ArgP binding in these instances is Lys sensitive .	ArgP	argO	[[186, 190], [291, 295]]	no_relation
This suggests that CRP site 3 is responsible for at least part of the CRP activation of rhaSR expression .	This suggests that @TF$ site 3 is responsible for at least part of the CRP activation of @Regulated$ expression .	CRP	rhaSR	[[19, 22], [88, 93]]	no_relation
We found that Rob ( i ) activates the transcription of zwf , fpr , fumC , micF , nfo , and sodA , ( ii ) requires a 21 - bp soxbox - marbox - robbox sequence to activate zwf transcription , ( iii ) protects the soxbox / marbox / robbox from attack by DNase I , ( iv ) is ambidextrous , i . e . , requires the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF , ( v ) bends zwf and fumC DNA , and ( vi ) binds zwf and fumC DNA as a monomer .	We found that @TF$ ( i ) activates the transcription of zwf , @Regulated$ , fumC , micF , nfo , and sodA , ( ii ) requires a 21 - bp soxbox - marbox - robbox sequence to activate zwf transcription , ( iii ) protects the soxbox / marbox / robbox from attack by DNase I , ( iv ) is ambidextrous , i . e . , requires the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF , ( v ) bends zwf and fumC DNA , and ( vi ) binds zwf and fumC DNA as a monomer .	Rob	fpr	[[14, 17], [61, 64]]	activator
The binding of two dimers of IciA protein to the dnaA promoter 1P element enhances the binding of RNA polymerase to the dnaA promoter 1P .	The binding of two dimers of @TF$ protein to the dnaA promoter 1P element enhances the binding of RNA polymerase to the @Regulated$ promoter 1P .	IciA	dnaA	[[29, 33], [120, 124]]	activator
Clearly there is a component ( 13 - to 20 - fold ) to the activation by CRP at rhaSR that is independent of both - CTD and RhaR and hence does not function by the same mechanism used at simple class I CRP - dependent promoters , nor does it function through cooperative binding with RhaR .	Clearly there is a component ( 13 - to 20 - fold ) to the activation by CRP at @Regulated$ that is independent of both - CTD and RhaR and hence does not function by the same mechanism used at simple class I @TF$ - dependent promoters , nor does it function through cooperative binding with RhaR .	CRP	rhaSR	[[201, 204], [79, 84]]	no_relation
Taking these results together with those presented above , it is concluded that the cooperative interaction of NagC bound to O NC1 and O NC2 , with IHF bound to the site identified in this work , forms a nucleoprotein complex that activates fimB expression .	Taking these results together with those presented above , it is concluded that the cooperative interaction of NagC bound to O NC1 and O NC2 , with @TF$ bound to the site identified in this work , forms a nucleoprotein complex that activates @Regulated$ expression .	IHF	fimB	[[148, 151], [241, 245]]	activator
Translation of the chiP mRNA is repressed by base - pairing with the ChiX sRNA .	Translation of the @Regulated$ mRNA is repressed by base - pairing with the @TF$ sRNA .	ChiX	chiP	[[69, 73], [19, 23]]	repressor
Since the same level of activation is seen with the truncated single operator site nagE ÔÇô lacZ fusion it implies that no DNA important for CAP stimulation of nagE ÔÇô lacZ expression is situated beyond ÔÇô 100 .	Since the same level of activation is seen with the truncated single operator site nagE ÔÇô lacZ fusion it implies that no DNA important for @TF$ stimulation of @Regulated$ ÔÇô lacZ expression is situated beyond ÔÇô 100 .	CAP	nagE	[[141, 144], [160, 164]]	no_relation
Previously , overexpression of Rob was shown to induce multiple antibiotic and superoxide resistance phenotypes ( 3 ) , to activate expression of fumC , inaA , and sodA in vivo ( 3 ) , and to activate the transcription of six mar / soxRS regulon promoters in vitro by mechanisms that are strikingly similar to that of MarA and SoxS ( 22 ) .	Previously , overexpression of @TF$ was shown to induce multiple antibiotic and superoxide resistance phenotypes ( 3 ) , to activate expression of fumC , inaA , and @Regulated$ in vivo ( 3 ) , and to activate the transcription of six mar / soxRS regulon promoters in vitro by mechanisms that are strikingly similar to that of MarA and SoxS ( 22 ) .	Rob	sodA	[[31, 34], [164, 168]]	activator
We identified eight genes and confirmed that seven are transcriptionally activated by normal expression of Rob from the chromosomal rob gene ( inaA , marR , aslB , ybaO , mdlA , yfhD , and ybiS ) .	We identified eight genes and confirmed that seven are transcriptionally activated by normal expression of @TF$ from the chromosomal rob gene ( inaA , @Regulated$ , aslB , ybaO , mdlA , yfhD , and ybiS ) .	Rob	marR	[[107, 110], [150, 154]]	activator
Optimal expression of the melAB promoter requires Sites 1 0 , Site 1 , Site 2 and Site 2 0 ; CRP acts as a ` bridge ' between MelR bound at Sites 1 0 and 1 and at Sites 2 and 2 0 , increasing expression from the melAB promoter .	Optimal expression of the @Regulated$ promoter requires Sites 1 0 , Site 1 , Site 2 and Site 2 0 ; CRP acts as a ` bridge ' between @TF$ bound at Sites 1 0 and 1 and at Sites 2 and 2 0 , increasing expression from the melAB promoter .	MelR	melAB	[[126, 130], [26, 31]]	no_relation
Based on these four sites , the . known start point for araBAD transcription at + 1 ( 6 ) , and an estimated start point for araC transcription near - 170 , Ogden et aL proposed ( i ) that araBAD and araC are stimulated by the . binding of CAP to distinct regions on the ' DNA - CRPBAD and CRPC , respectively , and ( ii ) that the araO , when bound to araC protein , prevents the binding of CAP to either CRPc or CRPBAD , and this in turn de - B756 Biochemistry : Lee et aL Proc .	Based on these four sites , the . known start point for araBAD transcription at + 1 ( 6 ) , and an estimated start point for araC transcription near - 170 , Ogden et aL proposed ( i ) that araBAD and @Regulated$ are stimulated by the . binding of CAP to distinct regions on the ' DNA - CRPBAD and CRPC , respectively , and ( ii ) that the araO , when bound to araC protein , prevents the binding of @TF$ to either CRPc or CRPBAD , and this in turn de - B756 Biochemistry : Lee et aL Proc .	CAP	araC	[[392, 395], [200, 204]]	no_relation
DISCUSSION CRP activates rhaSR from at least one newly identified binding site .	DISCUSSION @TF$ activates @Regulated$ from at least one newly identified binding site .	CRP	rhaSR	[[11, 14], [25, 30]]	activator
From this , we conclude that the MelR - binding Site R plays an essential role in MelR - dependent repression of the melR promoter .	From this , we conclude that the MelR - binding Site R plays an essential role in @TF$ - dependent repression of the @Regulated$ promoter .	MelR	melR	[[82, 86], [117, 121]]	repressor
Note that 0.5 mM GlcNAc or glucose , when present alone , is depleted by A 650 = 0.12 . ┬® 2008 The Authors Journal compilation ┬® 2008 Blackwell Publishing Ltd , Molecular Microbiology , 71 , 146 ÔÇô 157NagC , GalR and GalS repression at galP 149 corresponds to the strength of the galactose - derepressed galP promoter and implies that the long fusion is better repressed than the short fusion .	Note that 0.5 mM GlcNAc or glucose , when present alone , is depleted by A 650 = 0.12 . ┬® 2008 The Authors Journal compilation ┬® 2008 Blackwell Publishing Ltd , Molecular Microbiology , 71 , 146 ÔÇô 157NagC , @TF$ and GalS repression at galP 149 corresponds to the strength of the galactose - derepressed @Regulated$ promoter and implies that the long fusion is better repressed than the short fusion .	GalR	galP	[[211, 215], [307, 311]]	no_relation
This resembles the known co - regulation of acrAB and tolC by the transcriptional factor MarA .	This resembles the known co - regulation of @Regulated$ and tolC by the transcriptional factor @TF$ .	MarA	acrAB	[[89, 93], [44, 49]]	regulator
The role of different MelR sites in activation of the melAB promoter The above footprinting experiments suggest that five MelR molecules can bind upstream of the melAB transcript start Fig . 6 .	The role of different @TF$ sites in activation of the @Regulated$ promoter The above footprinting experiments suggest that five MelR molecules can bind upstream of the melAB transcript start Fig . 6 .	MelR	melAB	[[22, 26], [54, 59]]	activator
Recently , a direct regulatory connection between oxidative stress and iron metabolism was shown by Zheng et al . , who demonstrated the transcriptional activation of fur by SoxS and OxyR ( 49 ) .	Recently , a direct regulatory connection between oxidative stress and iron metabolism was shown by Zheng et al . , who demonstrated the transcriptional activation of @Regulated$ by @TF$ and OxyR ( 49 ) .	SoxS	fur	[[174, 178], [167, 170]]	activator
In this study , we have examined promoter - lac fusions in strains that were argP or argP or that were carrying dominant argP mutations in order to identify several new genes that are ArgP - regulated in vivo , including lysP , lysC , lysA , dapD , and asd ( in addition to argO , dapB , and gdhA ) .	In this study , we have examined promoter - lac fusions in strains that were argP or argP or that were carrying dominant argP mutations in order to identify several new genes that are @TF$ - regulated in vivo , including lysP , lysC , lysA , @Regulated$ , and asd ( in addition to argO , dapB , and gdhA ) .	ArgP	dapD	[[184, 188], [242, 246]]	regulator
In order to investigate further the role of residues in and around AR1 in transcription activation at the melAB promoter , we puri Â® ed CRP carrying the TI158 substitution that improves CRP - dependent activation of the melAB promoter in vivo .	In order to investigate further the role of residues in and around AR1 in transcription activation at the melAB promoter , we puri Â® ed CRP carrying the TI158 substitution that improves @TF$ - dependent activation of the @Regulated$ promoter in vivo .	CRP	melAB	[[187, 190], [221, 226]]	activator
Since both Lrp and ArgP stimulate argO expression and bind to overlapping targets in the argO control region , we were interested in analysing potential interferences in the action of these transcriptional activators on argO expression , in response to environmental conditions .	Since both Lrp and @TF$ stimulate argO expression and bind to overlapping targets in the @Regulated$ control region , we were interested in analysing potential interferences in the action of these transcriptional activators on argO expression , in response to environmental conditions .	ArgP	argO	[[19, 23], [89, 93]]	no_relation
Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , dapD , gdhA , lysA , lysC , and lysP ) were also bound by ArgP , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with argO ) , the addition of Lys was associated with an increase in the apparent K d , indicating that ArgP binding in these instances is Lys sensitive .	Under identical experimental conditions as for argO , the regulatory regions of the other ArgP - regulated genes ( asd , dapB , @Regulated$ , gdhA , lysA , lysC , and lysP ) were also bound by @TF$ , with apparent K d s ranging from 55 nM to 170 nM ; in all these cases ( unlike the situation with argO ) , the addition of Lys was associated with an increase in the apparent K d , indicating that ArgP binding in these instances is Lys sensitive .	ArgP	dapD	[[186, 190], [128, 132]]	no_relation
AraC has previously been shown to repress its own transcription by binding to a region overlapping the araC promoter elements ( 32 ) .	@TF$ has previously been shown to repress its own transcription by binding to a region overlapping the @Regulated$ promoter elements ( 32 ) .	AraC	araC	[[0, 4], [103, 107]]	repressor
In silico analyses and experimental verification of potential binding sites for Lrp in the argO control region The formation of multiple Lrp â€“ argO operator complexes with a different apparent stoichiometry suggests the existence of several binding sites for Lrp in the argO control region .	In silico analyses and experimental verification of potential binding sites for @TF$ in the @Regulated$ control region The formation of multiple Lrp â€“ argO operator complexes with a different apparent stoichiometry suggests the existence of several binding sites for Lrp in the argO control region .	Lrp	argO	[[80, 83], [91, 95]]	no_relation
The NarL and NarP proteins are each able to activate expression of the nirB and nrfA operons by interaction with common DNA - binding sites .	The @TF$ and NarP proteins are each able to activate expression of the @Regulated$ and nrfA operons by interaction with common DNA - binding sites .	NarL	nirB	[[4, 8], [71, 75]]	activator
mdaA ( also known as nfsA ) but not ybjC had previously been shown to be regulated by SoxS although no binding site had been identified ( Liochev et al . , 1999 ) .	@Regulated$ ( also known as nfsA ) but not ybjC had previously been shown to be regulated by @TF$ although no binding site had been identified ( Liochev et al . , 1999 ) .	SoxS	mdaA	[[86, 90], [0, 4]]	regulator
Thus , the dmsA promoter exhibits a preference for - 41.5 target sites like other Fnr - regulated class II promoters [ 16 ] .	Thus , the @Regulated$ promoter exhibits a preference for - 41.5 target sites like other @TF$ - regulated class II promoters [ 16 ] .	Fnr	dmsA	[[82, 85], [11, 15]]	regulator
Expression of acrZ is coregulated with acrAB and tolC by the MarA , Rob , and SoxS transcription factors .	Expression of acrZ is coregulated with @Regulated$ and tolC by the MarA , @TF$ , and SoxS transcription factors .	Rob	acrAB	[[68, 71], [39, 44]]	regulator
Cyclic AMP receptor protein and RhaR synergistically activate transcription from the L - rhamnose - responsive rhaSR promoter in Escherichia coli .	Cyclic AMP receptor protein and @TF$ synergistically activate transcription from the L - rhamnose - responsive @Regulated$ promoter in Escherichia coli .	RhaR	rhaSR	[[32, 36], [111, 116]]	activator
Plasmids overproducing either the NagC protein or the Mlc protein repress the expression of manX , but the effect of the Mlc protein is stronger .	Plasmids overproducing either the NagC protein or the Mlc protein repress the expression of @Regulated$ , but the effect of the @TF$ protein is stronger .	Mlc	manX	[[121, 124], [92, 96]]	no_relation
The mutation in nagO1 behaved as expected : expression was higher in glycerol , giving a © 2008 The Authors Journal compilation © 2008 Blackwell Publishing Ltd , Molecular Microbiology , 71 , 146 – 157NagC , GalR and GalS repression at galP 151 value comparable to the nagC mutation and expression was strongly increased by growth on galactose .	The mutation in nagO1 behaved as expected : expression was higher in glycerol , giving a © 2008 The Authors Journal compilation © 2008 Blackwell Publishing Ltd , Molecular Microbiology , 71 , 146 – 157NagC , GalR and @TF$ repression at @Regulated$ 151 value comparable to the nagC mutation and expression was strongly increased by growth on galactose .	GalS	galP	[[217, 221], [236, 240]]	repressor
Although not tested directly , the ybjC - mdaA operon may contain a third gene , rimK , as : ( i ) there does not appear to be either an RNA chain termination signal nor a promoter between mdaA and rimK ( they are separated by 172 bp ) ; ( ii ) Barbosa and Levy ( Barbosa and Levy 2000 ) observed the induction of rimK in their microarray analysis for MarA - induced genes ; and ( iii ) the nearest potential MarA binding site upstream of rimK is that identified for ybjC .	Although not tested directly , the ybjC - mdaA operon may contain a third gene , rimK , as : ( i ) there does not appear to be either an RNA chain termination signal nor a promoter between mdaA and rimK ( they are separated by 172 bp ) ; ( ii ) Barbosa and Levy ( Barbosa and Levy 2000 ) observed the induction of rimK in their microarray analysis for @TF$ - induced genes ; and ( iii ) the nearest potential MarA binding site upstream of @Regulated$ is that identified for ybjC .	MarA	rimK	[[352, 356], [439, 443]]	no_relation
Thus , stimulation of b1452 was dependent on MarA and a region ( – 131 to – 111 ) identified as a potential binding site for the activators . map and mdaB .	Thus , stimulation of @Regulated$ was dependent on @TF$ and a region ( – 131 to – 111 ) identified as a potential binding site for the activators . map and mdaB .	MarA	b1452	[[45, 49], [22, 27]]	activator
For example , with AraC at the araBAD promoter , a combination of genetics and biochemistry has shown that the binding orientation is such that the C - terminally located HTH motif is adjacent to the promoter - 35 element ( Niland et al . , 1996 ) , and that , during activation , AraC binds to two adjacent sites as a direct repeat ( Reeder and Schleif , 1993 ) .	For example , with AraC at the @Regulated$ promoter , a combination of genetics and biochemistry has shown that the binding orientation is such that the C - terminally located HTH motif is adjacent to the promoter - 35 element ( Niland et al . , 1996 ) , and that , during activation , @TF$ binds to two adjacent sites as a direct repeat ( Reeder and Schleif , 1993 ) .	AraC	araBAD	[[281, 285], [31, 37]]	no_relation
LysR also mediates Lys repression ( of lysA ) , but in this case it has been suggested that the coeffector ligand is diaminopimelic acid ( which is the substrate for lysA ) and that the latter â€™ s binding to LysR converts it into its activator conformation ( 30 , 36 ) 	 @TF$ also mediates Lys repression ( of lysA ) , but in this case it has been suggested that the coeffector ligand is diaminopimelic acid ( which is the substrate for @Regulated$ ) and that the latter â€™ s binding to LysR converts it into its activator conformation ( 30 , 36 ) 	LysR	lysA	[[0, 4], [166, 170]]	repressor
Our results indicate that the repression of transcription from the two dnaA promoters ( 1P and 2P ) by DnaA protein is promoted by the oligomerization of DnaA protein over dnaA promoters 1P and 2P and that this binding directly prevents RNA polymerase binding to the two promoters .	Our results indicate that the repression of transcription from the two @Regulated$ promoters ( 1P and 2P ) by @TF$ protein is promoted by the oligomerization of DnaA protein over dnaA promoters 1P and 2P and that this binding directly prevents RNA polymerase binding to the two promoters .	DnaA	dnaA	[[103, 107], [71, 75]]	repressor
For example , nitrate induction of the narGHJI operon ( 21 ) and the narK gene ( 12 ) is controlled exclusively by NarL , while induction of the fdnGHI operon is controlled principally by NarL , but NarP also effects a degree of control ( observed with a narL mutant ) ( 21 ) .	For example , nitrate induction of the narGHJI operon ( 21 ) and the narK gene ( 12 ) is controlled exclusively by @TF$ , while induction of the @Regulated$ operon is controlled principally by NarL , but NarP also effects a degree of control ( observed with a narL mutant ) ( 21 ) .	NarL	fdnGHI	[[115, 119], [145, 151]]	no_relation
These results show that constitutive and inducible expression of the chromosomal MarA was able to upregulate nfnB expression in contrast with the lack of activation mediated by constitutive expression of the chromosomal SoxS and Rob proteins .	These results show that constitutive and inducible expression of the chromosomal MarA was able to upregulate @Regulated$ expression in contrast with the lack of activation mediated by constitutive expression of the chromosomal SoxS and @TF$ proteins .	Rob	nfnB	[[229, 232], [109, 113]]	repressor
The experiment illustrated in Figure 2 shows that MelR has little or no effect on the synthesis of RNA - 1 but represses synthesis of the transcript from the melR promoter .	The experiment illustrated in Figure 2 shows that @TF$ has little or no effect on the synthesis of RNA - 1 but represses synthesis of the transcript from the @Regulated$ promoter .	MelR	melR	[[50, 54], [158, 162]]	repressor
In a second set of experiments , we used the in vitro transcription assay to investigate whether CRP affected activation at the melAB promoter .	In a second set of experiments , we used the in vitro transcription assay to investigate whether @TF$ affected activation at the @Regulated$ promoter .	CRP	melAB	[[97, 100], [128, 133]]	activator
As expected , expression of known AraC - regulated genes , i . e . , araB , araA , araD , araE , araF , February 2014 Volume 196 Number 3 jb . asm . org 663Stringer et al . FIG 1 ( A ) Validation of putative E . coli AraC target regions identified by ChIP - chip .	As expected , expression of known @TF$ - regulated genes , i . e . , @Regulated$ , araA , araD , araE , araF , February 2014 Volume 196 Number 3 jb . asm . org 663Stringer et al . FIG 1 ( A ) Validation of putative E . coli AraC target regions identified by ChIP - chip .	AraC	araB	[[34, 38], [69, 73]]	regulator
The expression of xylF is negatively regulated by Fis and RpoS at the transcriptional level ( 50 ) , and a putative regulator , xylR , was found downstream of xylFGH .	The expression of @Regulated$ is negatively regulated by Fis and @TF$ at the transcriptional level ( 50 ) , and a putative regulator , xylR , was found downstream of xylFGH .	RpoS	xylF	[[58, 62], [18, 22]]	repressor
Considered together , these data show that IHF promotes an interaction between NagC bound to O NC1 and O NC2 , forming a stable nucleoprotein complex that activates fimB expression .	Considered together , these data show that IHF promotes an interaction between @TF$ bound to O NC1 and O NC2 , forming a stable nucleoprotein complex that activates @Regulated$ expression .	NagC	fimB	[[79, 83], [165, 169]]	activator
We previously suggested that a MelR dimer simultaneously occupies site R and site 2 , creating a repression loop and the effects of different insertions and deletions on MelR - dependent repression of the melR promoter ( Figure 6 ) are consistent with this ( 17 ) .	We previously suggested that a MelR dimer simultaneously occupies site R and site 2 , creating a repression loop and the effects of different insertions and deletions on @TF$ - dependent repression of the @Regulated$ promoter ( Figure 6 ) are consistent with this ( 17 ) .	MelR	melR	[[170, 174], [205, 209]]	repressor
Transcription activation at the Escherichia coli melAB promoter : interactions of MelR with its DNA target site and with domain 4 of the RNA polymerase sigma subunit .	Transcription activation at the Escherichia coli @Regulated$ promoter : interactions of @TF$ with its DNA target site and with domain 4 of the RNA polymerase sigma subunit .	MelR	melAB	[[82, 86], [49, 54]]	activator
( B ) Transcription activation by RhaS expressed from the chromosome in SME1048 ( wild - type rhaSR ) .	( B ) Transcription activation by @TF$ expressed from the chromosome in SME1048 ( wild - type @Regulated$ ) .	RhaS	rhaSR	[[34, 38], [94, 99]]	activator
These results show that the decrease in purA and hdeA expression was caused , directly or indirectly , by transiently synthesized MarA rather than by a stress reaction due to constitutively overabundant MarA .	These results show that the decrease in @Regulated$ and hdeA expression was caused , directly or indirectly , by transiently synthesized @TF$ rather than by a stress reaction due to constitutively overabundant MarA .	MarA	purA	[[130, 134], [40, 44]]	repressor
For instance , Rob has been shown to bind and activate the zwf promoter in vitro but whole cell zwf regulation cannot be activated by Rob , although the gene responds to SoxS and MarA ( Ariza et al . , 1995 ; Jair et al . , 1995 1996a ; b ) .	For instance , Rob has been shown to bind and activate the @Regulated$ promoter in vitro but whole cell zwf regulation cannot be activated by Rob , although the gene responds to SoxS and @TF$ ( Ariza et al . , 1995 ; Jair et al . , 1995 1996a ; b ) .	MarA	zwf	[[179, 183], [59, 62]]	regulator
Of the remaining seven SoxS - activated genes , five ( nfo , rimK , tolC , fldB , and mdaA ) were activated with values below threshold while one ( ribA ) appeared slightly repressed .	Of the remaining seven @TF$ - activated genes , five ( nfo , rimK , tolC , fldB , and mdaA ) were activated with values below threshold while one ( @Regulated$ ) appeared slightly repressed .	SoxS	ribA	[[23, 27], [148, 152]]	repressor
For example , the nitrate reductase genes narGHJI are regulated exclusively by NarL and are not responsive to NarP as observed here for cydD , while nitrate induction of the fdnGHI operon is regulated predominantly by NarL but is also responsive in part to NarP ( 33 , 39 ) .	For example , the nitrate reductase genes narGHJI are regulated exclusively by @TF$ and are not responsive to NarP as observed here for @Regulated$ , while nitrate induction of the fdnGHI operon is regulated predominantly by NarL but is also responsive in part to NarP ( 33 , 39 ) .	NarL	cydD	[[79, 83], [136, 140]]	regulator
The same concentration and batch of MarA protein , on the other hand , repressed both purA and hdeA ( Fig . 2 ) .	The same concentration and batch of @TF$ protein , on the other hand , repressed both @Regulated$ and hdeA ( Fig . 2 ) .	MarA	purA	[[36, 40], [86, 90]]	repressor
Transcription activation at the Escherichia coli melAB promoter : interactions of MelR with its DNA target site and with domain 4 of the RNA polymerase sigma subunit .	Transcription activation at the Escherichia coli @Regulated$ promoter : interactions of @TF$ with its DNA target site and with domain 4 of the RNA polymerase sigma subunit .	MelR	melAB	[[82, 86], [49, 54]]	activator
Like MalE - SoxS , MarA ( i ) activated the transcription of zwf , fpr , fumC , micF , nfo , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate zwf transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not fumC or micF .	Like MalE - @TF$ , MarA ( i ) activated the transcription of zwf , fpr , fumC , micF , nfo , and sodA ; ( ii ) required a 21 - bp  soxbox  sequence to activate zwf transcription ; and ( iii ) was  ambidextrous ,  i . e . , required the C - terminal domain of the a subunit of RNA polymerase for activation of zwf but not @Regulated$ or micF .	SoxS	fumC	[[12, 16], [317, 321]]	no_relation
To evaluate whether ArgP was involved in the transcriptional regulation of lysP , a nonfunctional argP allele ( argP : : Cam r ) was transduced into strain MG - LR carrying the chromosomal P lysP : : lacZ fusion .	To evaluate whether @TF$ was involved in the transcriptional regulation of @Regulated$ , a nonfunctional argP allele ( argP : : Cam r ) was transduced into strain MG - LR carrying the chromosomal P lysP : : lacZ fusion .	ArgP	lysP	[[20, 24], [75, 79]]	regulator
